Diedorf	['Planetarium und Sternwarte Diedorf', ' Astronomische Vereinigung Augsburg e.V.', ' Pestalozzistraße 17a', ' D-86420 Diedorf', '+49 (0)8238 7344', ' <a href="http://www.sternwarte-diedorf.de/" target="_blank" title="Opens external link in new window">www.sternwarte-diedorf.de</a>', ' info (at) astronomische-vereinigung-augsburg.de', '8 m Ø', ' 45 Plätze, beweglich', ' <strong>Sternenprojektor: </strong>- (fest montierte LEDs)', ' <strong>Fulldome: </strong>-', ' <strong>Eröffnet: </strong>1981']
Dieterskirchen	['Volkssternwarte und Planetarium', ' Sternenfreunde Dieterskirchen e.V.', ' Roigerstr. 6', ' D-92542 Dieterskirchen', '+49 (0)9671 9187067', ' <a href="http://www.sternwarte-dieterskirchen.de/" target="_blank" title="Opens external link in new window">www.sternwarte-dieterskirchen.de</a>', ' info (at) sternwarte-dieterskirchen.de', '6 m Ø', ' 25 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Astrogeräte Berger, Polaris MK1', ' <strong>Fulldome: </strong>Sky-Skan definiti Solo', ' <strong>Eröffnet: </strong>2014']
Garching	['ESO Supernova Planetarium', ' Karl-Schwarzschild-Str. 2', ' D-85748 Garching', '+49 (0)89 32006130', ' <a href="http://supernova.eso.org/" target="_blank" title="Opens external link in new window">supernova.eso.org</a>', ' information (at) eso.org', '14 m Ø, 25° geneigt', ' 110 Plätze, unidirektional', ' <strong>Sternenprojektor: </strong>-', ' <strong>Fulldome: </strong>E&amp;S Digistar, Zeiss Powerdome Velvet', ' <strong>Eröffnet: </strong>2018', ' \xa0']
Garching (MOBIL)	['Max-Planck-Institut für Astrophysik', ' Karl-Schwarzschild-Str. 1', ' D-85748 Garching', '+49 (0)89 300003980', ' <a href="http://www.mpa-garching.mpg.de" target="_blank">www.mpa-garching.mpg.de</a>', ' pr (at) mpa-garching.mpg.de', '5 m Ø', ' 25 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>-', ' <strong>Fulldome: </strong>Digitalis Digitarium Gamma Portable', ' <strong>Eröffnet: </strong>2011', ' \xa0']
Hof	['Kinderplanetarium der Volkssternwarte', ' Egerländerweg 25', ' D-95032 Hof', '+49 (0)9281 95278', ' <a href="http://www.sternwarte-hof.de/" target="_blank" title="Opens external link in new window">www.sternwarte-hof.de</a>', ' info (at) sternwarte-hof.de', '4,9 m Ø', ' 20 Plätze, variabel', ' <strong>Sternenprojektor: </strong>Selbstbau', ' <strong>Fulldome: -</strong>', ' <strong>Eröffnet: </strong>1995', ' \xa0']
München	['Planetarium', ' Bayerische Volkssternwarte München e.V.', ' Rosenheimer Straße 145h', ' D-81671 München', '+49 (0)89 406239', ' <a href="http://www.sternwarte-muenchen.de/" target="_blank" title="Opens external link in new window">www.sternwarte-muenchen.de</a>', ' info (at) sternwarte-muenchen.de', '4,3 m Ø', ' 32 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Zeiss ZKP 1', ' <strong>Fulldome: -</strong>', ' <strong>Eröffnet: </strong>1993', ' \xa0']
München	['Zeiss-Planetarium, Deutsches Museum', ' Museumsinsel 1', ' D-80538 München', '+49 (0)89 21791', ' <a href="http://www.deutsches-museum.de/ausstellungen/naturwissenschaft/planetarium" target="_blank" title="Opens external link in new window">www.deutsches-museum.de/...</a>', ' information (at) deutsches-museum.de', '15 m Ø', ' 174 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Zeiss Skymaster ZKP 4', ' <strong>Fulldome: </strong>Zeiss Powerdome Velvet', ' <strong>Eröffnet: </strong>1925']
Nürnberg	['Nicolaus-Copernicus-Planetarium', ' Bildungszentrum der Stadt Nürnberg', ' Am Plärrer 41', ' D-90429 Nürnberg', '+49 (0)911 9296553', ' <a href="http://www.planetarium-nuernberg.de/" target="_blank" title="Opens external link in new window">www.planetarium-nuernberg.de</a>', ' planetarium (at) stadt.nuernberg.de', '18 m Ø', ' 215 Plätze, epizentrisch', ' <strong>Sternenprojektor: </strong>Zeiss Modell V\xa0', ' <strong>Fulldome: </strong>Sky-Skan Definiti 4K SXRD', ' <strong>Eröffnet: </strong>1961']
Pfaffenhofen an der Ilm (MOBIL)	['Mobiles Planetarium Wieck', ' Niederscheyererstr. 99b', ' D-85276 Pfaffenhofen an der Ilm', '+49 (0)1578 4565072', ' <a href="http://www.mobiles-planetarium-wieck.de/" target="_blank">www.mobiles-planetarium-wieck.de</a>', ' mail (at) mobiles-planetarium-wieck.de', '4,9 m Ø', ' 30 Plätze, variabel', ' <strong>Sternenprojektor: </strong>LT Starlab', ' <strong>Fulldome: -</strong>', ' <strong>Eröffnet: </strong>2018']
Seewiesen	['Planetarium', ' Max-Planck-Institut für Ornithologie', ' Eberhard-Gwinner-Straße', ' D-82319 Seewiesen', '+49 (0)8157 932-0', ' <a href="https://www.orn.mpg.de/3499/Windkanal" target="_blank" title="Opens external link in new window">www.orn.mpg.de/3499/Windkanal</a>', '9,1 m Ø', ' keine Sitzplätze, da nur für Forschungszwecke', ' <strong>Sternenprojektor: </strong>Zeiss ZKP 1 (modifiziert)', ' <strong>Fulldome: </strong>-', ' <strong>Eröffnet: </strong>1964']
Ursensollen	['<em>Nicht öffentlich zugänglich.</em>', 'Ursensollen', ' * Planetarium mit Sternwarte Ursensollen', ' * Allmannsberger Weg 20', ' * 92289 Ursensollen', ' * Webseite: <a href="https://www.sternwarte-ursensollen.de" target="_blank">https://www.sternwarte-ursensollen.de</a> und', ' <a href="https://www.planetarium-ursensollen.de/" target="_blank">https://www.planetarium-ursensollen.de/</a>', '* 6,6 m Ø, 15° geneigt', ' * 30 Plätze, unidirektional', ' * Sternenprojektor: 2x Norxe Single chip DLP LED projector (2560x1600', ' Auflösung)', ' * Fulldome: Sky-Skan Definiti Duett', ' * Eröffnet: 2019', " Die Google Koordinaten des Planetariums mit Sternwarte sind: 49*23'53 und", " 11*44'24"]
Winzer	['Planetarium der Sternwarte Winzer', ' Volkssternwarte Bayerischer Wald e.V.', ' Pledlberg 1a', ' D-94577 Winzer', '<a href="http://www.sternwarte-winzer.de/" target="_blank" title="Opens external link in new window">www.sternwarte-winzer.de</a>', ' info (at) sternwarte-winzer.de', '4 m Ø', ' 17 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>-', ' <strong>Fulldome:\xa0</strong>Eigenbau', ' <strong>Eröffnet: </strong>2007']
Zusmarshausen-Streitheim	['Volkssternwarte und Planetarium', ' Streitheim e.V.', ' Weilerhofstraße 21', ' D-86441 Zusmarshausen OT Streitheim', '+49 (0)8236 962149', ' <a href="http://www.volkssternwarte-streitheim.de/" target="_blank" title="Opens external link in new window">www.volkssternwarte-streitheim.de</a>', ' info (at) volkssternwarte-streitheim.de', '5 m Ø', ' 30 Plätze, konzentrisch', ' <strong>Sternenprojektor: </strong>Zeiss ZKP 1', ' <strong>Fulldome: </strong>-', ' <strong>Eröffnet: </strong>2015']
